Date,Region Code,Timestamp,Title,Влажность почвы 10 см (-10),Влажность почвы 20 см (-20),Влажность почвы 30 см (-30),Дата,Температура почвы 10 см (-10),Температура почвы 20 см (-20),Температура почвы 30 см (-30)
2025-05-11,,20250511_162352,MeteoBot-36 / MeteoUz,78.8 %,0 %,0 %,2025-05-11 16:20,12.4 °C,°C,°C
2025-05-11,1714,20250511_162352,ЯНГИКЎРҒОН,32.5 %,,,2025-05-11 16:20,38.0 °C,,
2025-05-11,1735,20250511_162352,Ходжейли,100 %,,,2025-05-11 16:20,25.0 °C,,
2025-05-11,,20250511_162352,Раушан,99.6 %,,,2025-05-11 16:20,23.0 °C,,
2025-05-11,1735,20250511_162352,Канлыкуль,100 %,,,2025-05-11 16:20,24.0 °C,,
2025-05-11,1735,20250511_162352,Шoманай,99.2 %,,,2025-05-11 16:20,24.5 °C,,
2025-05-11,,20250511_162352,Сары-алтын,94.1 %,,,2025-05-11 16:20,24.5 °C,,
2025-05-11,,20250511_162352,MeteoBot-36 / MeteoUz,85.9 %,79.2 %,80.4 %,2025-05-11 16:20,27.1 °C,24.1 °C,23.4 °C
2025-05-11,,20250511_162352,MeteoBot-36 / MeteoUz,earthHumidity1 %,earthHumidity2 %,earthHumidity3 %,date time,earthTemperature1 °C,earthTemperature2 °C,earthTemperature3 °C
2025-05-11,,20250511_162352,MeteoBot-36 / MeteoUz,18.0 %,31.0 %,0 %,2025-05-11 16:20,°C,22.9 °C,21.8 °C
2025-05-11,,20250511_162352,Уллыбаг,100 %,,,2025-05-11 16:20,26.5 °C,,
2025-05-11,,20250511_162352,Шурахан,92.9 %,,,2025-05-11 16:20,27.0 °C,,
2025-05-11,1735,20250511_162352,Мангит,100 %,,,2025-05-11 10:11,24.5 °C,,
2025-05-11,1730,20250511_162352,Фаргона шахри,earthHumidity1 %,,,date time,earthTemperature1 °C,,
2025-05-11,1730,20250511_162352,Бешарык,earthHumidity1 %,,,date time,earthTemperature1 °C,,
2025-05-11,1730,20250511_162352,Дангара,24.7 %,,,2025-05-11 16:20,21.0 °C,,
2025-05-11,1733,20250511_162352,Хоразм Кошкупыр,100 %,,,2025-05-11 16:20,26.0 °C,,
2025-05-11,,20250511_162352,Лебап,21.5 %,,,2025-05-11 16:22,°C,,
2025-05-11,1733,20250511_162352,"Хива, Дашяк",85.9 %,,,2025-05-11 16:20,26.5 °C,,
2025-05-11,1727,20250511_162352,Тошкент обсерватория,earthHumidity1 %,,,date time,earthTemperature1 °C,,
2025-05-11,1733,20250511_162352,Ургенч шахар,98.0 %,,,2025-05-11 16:20,29.5 °C,,
2025-05-11,1733,20250511_162352,Хоразм Гурлен,94.1 %,,,2025-05-11 16:20,29.0 °C,,
